File,Key,Action,Value Preview,ICU Warning
intl_en.arb,@activity_desc_harvest,Added,"OrderedDict([('description', 'Desc act récolte'), ",
intl_en.arb,@activity_desc_maintenance,Added,"OrderedDict([('description', 'Desc act maintenance",
intl_en.arb,@activity_desc_garden_deleted,Added,"OrderedDict([('description', 'Desc act suppression",
intl_en.arb,@activity_desc_bed_deleted,Added,"OrderedDict([('description', 'Desc act suppression",
intl_en.arb,@activity_desc_planting_deleted,Added,"OrderedDict([('description', 'Desc act suppression",
intl_en.arb,@activity_desc_garden_updated,Added,"OrderedDict([('description', 'Desc act màj jardin'",
intl_en.arb,@activity_desc_bed_updated,Added,"OrderedDict([('description', 'Desc act màj parcell",
intl_en.arb,@activity_desc_planting_updated,Added,"OrderedDict([('description', 'Desc act màj plantat",
intl_en.arb,@planting_steps_title,Added,"OrderedDict([('description', 'Titre widget Pas-à-p",
intl_en.arb,@planting_steps_add_button,Added,"OrderedDict([('description', 'Label bouton ajouter",
intl_en.arb,@planting_steps_see_less,Added,"OrderedDict([('description', 'Bouton replier')])",
intl_en.arb,@planting_steps_see_all,Added,"OrderedDict([('description', 'Bouton voir tout')])",
intl_en.arb,@planting_steps_empty,Added,"OrderedDict([('description', 'Message vide étapes'",
intl_en.arb,@planting_steps_more,Added,"OrderedDict([('description', 'Label x autres étape",
intl_en.arb,@planting_steps_prediction_badge,Added,"OrderedDict([('description', 'Badge prédiction')])",
intl_en.arb,@planting_steps_date_prefix,Added,"OrderedDict([('description', 'Préfixe date étape')",
intl_en.arb,@planting_steps_done,Added,"OrderedDict([('description', 'Label fait')])",
intl_en.arb,@planting_steps_mark_done,Added,"OrderedDict([('description', 'Bouton marquer fait'",
intl_en.arb,@planting_steps_dialog_title,Added,"OrderedDict([('description', 'Titre dialog ajout é",
intl_en.arb,@planting_steps_dialog_hint,Added,"OrderedDict([('description', 'Hint dialog ajout ét",
intl_en.arb,@planting_steps_dialog_add,Added,"OrderedDict([('description', 'Bouton valider ajout",
intl_en.arb,@planting_card_sown_date,Added,"OrderedDict([('description', 'Label sémé le'), ('p",
intl_en.arb,@planting_card_planted_date,Added,"OrderedDict([('description', 'Label planté le'), (",
intl_en.arb,@planting_card_harvest_estimate,Added,"OrderedDict([('description', 'Label récolte estimé",
intl_en.arb,@harvest_price_label,Added,"OrderedDict([('description', 'Libellé pour le cham",
intl_en.arb,@stats_screen_title,Added,"OrderedDict([('description', 'Titre écran statisti",
intl_en.arb,@stats_screen_subtitle,Added,"OrderedDict([('description', 'Sous-titre écran sta",
intl_en.arb,@kpi_alignment_title,Added,"OrderedDict([('description', 'Titre KPI Alignement",
intl_en.arb,@kpi_alignment_description,Added,"OrderedDict([('description', 'Description KPI Alig",
intl_en.arb,@kpi_alignment_cta,Added,"OrderedDict([('description', 'CTA KPI Alignement')",
intl_en.arb,@kpi_alignment_aligned,Added,"OrderedDict([('description', 'Label aligné')])",
intl_en.arb,@kpi_alignment_total,Added,"OrderedDict([('description', 'Label Total')])",
intl_en.arb,@kpi_alignment_aligned_actions,Added,"OrderedDict([('description', 'Label Actions Aligné",
intl_en.arb,@kpi_alignment_misaligned_actions,Added,"OrderedDict([('description', 'Label Actions Décalé",
intl_en.arb,@kpi_alignment_calculating,Added,"OrderedDict([('description', 'Message calcul align",
intl_en.arb,@kpi_alignment_error,Added,"OrderedDict([('description', 'Message erreur align",
intl_en.arb,@pillar_economy_title,Added,"OrderedDict([('description', 'Titre Pilier Économi",
intl_en.arb,@pillar_nutrition_title,Added,"OrderedDict([('description', 'Titre Pilier Nutriti",
intl_en.arb,@pillar_export_title,Added,"OrderedDict([('description', 'Titre Pilier Export'",
intl_en.arb,@pillar_economy_label,Added,"OrderedDict([('description', 'Label Pilier Économi",
intl_en.arb,@pillar_nutrition_label,Added,"OrderedDict([('description', 'Label Pilier Nutriti",
intl_en.arb,@pillar_export_label,Added,"OrderedDict([('description', 'Label Pilier Export'",
intl_en.arb,@pillar_export_button,Added,"OrderedDict([('description', 'Bouton Pilier Export",
intl_en.arb,@stats_economy_title,Added,"OrderedDict([('description', 'Titre écran économie",
intl_en.arb,@stats_economy_no_harvest,Added,"OrderedDict([('description', 'Message vide économi",
intl_en.arb,@stats_economy_no_harvest_desc,Added,"OrderedDict([('description', 'Sous-titre vide écon",
intl_en.arb,@stats_kpi_total_revenue,Added,"OrderedDict([('description', 'KPI Revenu Total')])",
intl_en.arb,@stats_kpi_total_volume,Added,"OrderedDict([('description', 'KPI Volume Total')])",
intl_en.arb,@stats_kpi_avg_price,Added,"OrderedDict([('description', 'KPI Prix Moyen')])",
intl_en.arb,@stats_top_cultures_title,Added,"OrderedDict([('description', 'Titre Top Cultures')",
intl_en.arb,@stats_top_cultures_no_data,Added,"OrderedDict([('description', 'Vide Top Cultures')]",
intl_en.arb,@stats_top_cultures_percent_revenue,Added,"OrderedDict([('description', 'Suffixe pourcentage ",
intl_en.arb,@stats_monthly_revenue_title,Added,"OrderedDict([('description', 'Titre Revenu Mensuel",
intl_en.arb,@stats_monthly_revenue_no_data,Added,"OrderedDict([('description', 'Vide Revenu Mensuel'",
intl_en.arb,@stats_dominant_culture_title,Added,"OrderedDict([('description', 'Titre Culture Domina",
intl_en.arb,@stats_annual_evolution_title,Added,"OrderedDict([('description', 'Titre Évolution Annu",
intl_en.arb,@stats_crop_distribution_title,Added,"OrderedDict([('description', 'Titre Répartition Cu",
intl_en.arb,@stats_crop_distribution_others,Added,"OrderedDict([('description', 'Label Autres pie cha",
intl_en.arb,@stats_key_months_title,Added,"OrderedDict([('description', 'Titre Mois Clés')])",
intl_en.arb,@stats_most_profitable,Added,"OrderedDict([('description', 'Label plus rentable'",
intl_en.arb,@stats_least_profitable,Added,"OrderedDict([('description', 'Label moins rentable",
intl_en.arb,@stats_auto_summary_title,Added,"OrderedDict([('description', 'Titre Synthèse Autom",
intl_en.arb,@stats_revenue_history_title,Added,"OrderedDict([('description', 'Titre Historique Rev",
intl_en.arb,@stats_profitability_cycle_title,Added,"OrderedDict([('description', 'Titre Cycle Rentabil",
intl_en.arb,@stats_table_crop,Added,"OrderedDict([('description', 'Header colonne Cultu",
intl_en.arb,@stats_table_days,Added,"OrderedDict([('description', 'Header colonne Jours",
intl_en.arb,@stats_table_revenue,Added,"OrderedDict([('description', 'Header colonne Reven",
intl_en.arb,@stats_table_type,Added,"OrderedDict([('description', 'Header colonne Type'",
intl_en.arb,@stats_type_fast,Added,"OrderedDict([('description', 'Type culture rapide'",
intl_en.arb,@nutrition_page_title,Added,"OrderedDict([('description', 'Titre écrant nutriti",
intl_en.arb,@nutrition_seasonal_dynamics_title,Added,"OrderedDict([('description', 'Titre dynamique sais",
intl_en.arb,@nutrition_seasonal_dynamics_desc,Added,"OrderedDict([('description', 'Desc dynamique saiso",
intl_en.arb,@nutrition_no_harvest_month,Added,"OrderedDict([('description', 'Vide mois')])",
